Asia,Australia and Oceania,Central America and the Caribbean,Europe,Middle East and North Africa,North America,Sub-Saharan Africa
Indonesia,Tuvalu,Antigua and Barbuda ,Iceland,Turkey,Greenland,Namibia
India,Samoa ,Saint Kitts and Nevis ,Russia,Iraq,United States of America,Djibouti
South Korea,Fiji,Saint Lucia,Moldova ,Kuwait,Canada,Cameroon
Kazakhstan,Marshall Islands,Trinidad and Tobago,Malta,Tunisia ,Mexico,Nigeria
Mongolia,New Zealand,Guatemala,Greece,Yemen,,Senegal
Malaysia,Solomon Islands,Saint Vincent and the Grenadines,Ukraine,United Arab Emirates,,Rwanda
Singapore,Vanuatu,Jamaica,Finland,Bahrain,,South Sudan
Brunei,Australia,Grenada,United Kingdom,Pakistan,,Guinea
Kyrgyzstan,Papua New Guinea,Honduras,San Marino,Lebanon,,Botswana
Taiwan,Nauru,Belize,Kosovo,Somalia,,Sudan
Sri Lanka,Kiribati,Barbados,Hungary,Egypt,,Tanzania
North Korea,Tonga,El Salvador,Serbia,Iran,,Sao Tome and Principe
Cambodia,Palau,Dominican Republic,Poland,Jordan,,Cape Verde
Tajikistan,East Timor,The Bahamas,Lithuania,Syria,,Guinea-Bissau
Turkmenistan,Federated States of Micronesia,Cuba,Portugal,Morocco,,South Africa
Maldives,,Nicaragua,Georgia,Afghanistan,,Sierra Leone
Laos,,Costa Rica,Bulgaria,Azerbaijan,,Mozambique
Myanmar,,Panama,Austria,Saudi Arabia,,Chad
Bhutan,,Dominica,Romania,Libya,,Togo
Vietnam,,Haiti,Denmark,Algeria,,Mali
Japan,,,Luxembourg,Oman,,Equatorial Guinea
Philippines,,,Croatia,Israel,,Eritrea
China,,,Sweden,Qatar,,Niger
Bangladesh,,,Cyprus,,,Madagascar
Uzbekistan,,,Montenegro,,,Gabon
Thailand,,,Vatican City,,,Angola
Nepal,,,France,,,Ethiopia
,,,Netherlands,,,Liberia
,,,Estonia,,,Democratic Republic of the Congo
,,,Bosnia and Herzegovina,,,Seychelles 
,,,Monaco,,,Mauritius 
,,,Germany,,,Comoros
,,,Slovenia,,,Burundi
,,,Ireland,,,Zambia
,,,Latvia,,,Lesotho
,,,Belgium,,,The Gambia
,,,Switzerland,,,Benin
,,,Italy,,,Malawi
,,,Belarus,,,Mauritania
,,,Czech Republic,,,Central African Republic
,,,Liechtenstein,,,Kenya
,,,Macedonia,,,Ghana
,,,Slovakia,,,Swaziland
,,,Spain,,,Burkina Faso
,,,Andorra,,,Uganda
,,,Albania,,,Zimbabwe
,,,Norway,,,Cote d'Ivoire
,,,Armenia,,,Republic of the Congo
